Destination,Source,Median RTT to Last Google Node (ms),Median RTT to Last Node (ms),RTT Ratio (Google/Total),RTT from Google Exit to Last Node (ms),Exit Status,Distance to Last Google Node (km),Last Google IP,Last Google ASN,Hops Before Exit
104.156.230.107,vultr-silicon valley,244.65,221.29,1.106,-23.36,exited google,N/A,74.125.243.90,nan,2
104.156.244.232,vultr-miami,224.9,229.85,0.978,4.95,exited google,N/A,216.239.46.104,nan,1
107.191.51.12,vultr-chicago,236.25,236.21,1.0,-0.04,exited google,N/A,108.170.238.83,nan,1
108.61.149.182,vultr-new jersey,233.01999999999998,240.85,0.967,7.83,exited google,9134.81480089621,142.251.66.65,AS15169 Google LLC,1
108.61.193.166,vultr-atlanta,361.195,219.36,1.647,-141.835,exited google,N/A,74.125.243.54,nan,2
108.61.194.105,vultr-seattle,229.255,239.48,0.957,10.225,exited google,N/A,142.251.54.146,nan,1
108.61.196.101,vultr-london,227.815,236.92000000000002,0.962,9.105,exited google,N/A,72.14.235.246,nan,1
108.61.198.102,vultr-amsterdam,219.95,347.765,0.632,127.815,exited google,3298.8497036517074,74.125.242.152,AS15169 Google LLC,2
108.61.201.151,vultr-tokyo,475.79,251.95,1.888,-223.84,exited google,9177.960190933456,72.14.239.222,AS15169 Google LLC,1
108.61.209.127,vultr-paris,227.59,221.94,1.025,-5.65,exited google,3282.240570082779,72.14.235.97,AS15169 Google LLC,1
108.61.210.117,vultr-frankfurt,233.755,229.08,1.02,-4.675,exited google,2940.8652945969716,192.178.107.28,AS15169 Google LLC,2
108.61.212.117,vultr-sydney,494.6,478.75,1.033,-15.85,exited google,N/A,66.249.94.19,nan,1
108.61.219.200,vultr-los angeles,228.21,248.73,0.918,20.52,exited google,N/A,142.251.65.159,nan,1
108.61.224.175,vultr-dallas,221.855,236.45,0.938,14.595,exited google,2856.008361244685,192.178.105.208,AS15169 Google LLC,2
11kk.love,tranco-rank10k,1.99,3.0149999999999997,0.66,1.025,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
123-hd.com,tranco-rank10k,2.3,2.03,1.133,-0.27,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
123mkv.team,tranco-rank100k,374.585,115.41499999999999,3.246,-259.17,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
12moviesda.com,tranco-rank100k,1232.67,2.99,412.264,-1229.68,exited google,0.5008882670652516,72.14.236.66,AS15169 Google LLC,3
139.84.130.100,vultr-bangalore,480.235,251.03,1.913,-229.205,exited google,5079.423565875874,74.125.251.23,AS15169 Google LLC,1
139.84.162.104,vultr-delhi ncr,243.49,222.9,1.092,-20.59,exited google,2638.9574144308353,192.178.241.180,AS15169 Google LLC,2
139.84.226.78,vultr-johannesburg,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
141.164.34.61,vultr-seoul,247.8,485.21,0.511,237.41,exited google,2856.008361244685,142.251.250.195,AS15169 Google LLC,1
149.248.50.81,vultr-toronto,240.66500000000002,231.305,1.04,-9.36,exited google,N/A,108.170.227.246,nan,1
163.com,tranco-top1k,248.85,473.82,0.525,224.97,exited google,2856.008361244685,192.178.105.28,AS15169 Google LLC,2
1asb.com,tranco-rank100k,2.05,2.48,0.827,0.43,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
1c.ru,tranco-top1k,242.51,239.21,1.014,-3.3,exited google,2638.9574144308353,142.250.234.165,AS15169 Google LLC,1
1drv.com,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
1exch.net,tranco-rank10k,382.075,382.075,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
1internet.tv,tranco-rank10k,228.97,230.99,0.991,2.02,exited google,2655.769233743875,142.251.224.85,AS15169 Google LLC,1
1learn.in,tranco-rank100k,111.735,3.62,30.866,-108.115,exited google,0.5008882670652516,142.250.62.27,AS15169 Google LLC,5
1nto.com,tranco-rank10k,1.26,1.9,0.663,0.64,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
1pr.ru,tranco-rank100k,243.765,238.8,1.021,-4.965,exited google,2638.9574144308353,172.253.51.75,AS15169 Google LLC,1
1slu.com,tranco-rank10k,219.47500000000002,2.96,74.147,-216.515,exited google,0.5008882670652516,192.178.252.236,AS15169 Google LLC,2
1tamilyogi.vote,tranco-rank10k,2.58,2.58,1.0,0.0,last node was google,0.5008882670652516,192.178.252.236,AS15169 Google LLC,2
208.72.154.76,vultr-honolulu,231.89999999999998,238.505,0.972,6.605,exited google,9134.81480089621,142.251.60.123,AS15169 Google LLC,1
208.76.222.30,vultr-madrid,224.68,232.88,0.965,8.2,exited google,N/A,142.250.225.71,nan,1
216.238.66.16,vultr-mexico city,233.86,223.65,1.046,-10.21,exited google,2625.919297347608,108.170.233.209,AS15169 Google LLC,1
216.238.98.118,vultr-sao paulo,238.62,240.25,0.993,1.63,exited google,N/A,209.85.244.162,nan,2
21wiz.com,tranco-rank10k,1.51,5.37,0.281,3.86,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
22.cn,tranco-rank10k,224.76,489.01,0.46,264.25,exited google,2940.8652945969716,192.178.109.242,AS15169 Google LLC,2
24-hd.com,tranco-rank10k,2.16,3.48,0.621,1.32,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
24exch.co,tranco-rank100k,241.9,241.9,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
2gis.com,tranco-top1k,235.21,232.77,1.01,-2.44,exited google,2655.769233743875,142.251.224.85,AS15169 Google LLC,1
2xpro.net,tranco-rank100k,2.2199999999999998,2.3,0.965,0.08,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
33across.com,tranco-top1k,223.56,223.56,1.0,0.0,exited google,2240.7323980703122,192.178.252.232,AS15169 Google LLC,2
360.cn,tranco-top1k,243.41,502.85,0.484,259.44,exited google,2940.8652945969716,216.239.42.70,nan,2
360safe.com,tranco-top1k,727.08,476.49,1.526,-250.59,exited google,9134.81480089621,142.251.66.70,AS15169 Google LLC,1
360yield.com,tranco-top1k,2.87,2.87,1.0,0.0,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
3gl.net,tranco-rank10k,230.27,237.26,0.971,6.99,exited google,2856.008361244685,192.178.105.92,AS15169 Google LLC,2
3isk.biz,tranco-rank10k,110.82,111.89,0.99,1.07,exited google,2856.008361244685,142.251.250.194,AS15169 Google LLC,1
3lift.com,tranco-top1k,111.535,111.535,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
45.32.100.168,vultr-singapore,474.63,488.85,0.971,14.22,exited google,N/A,72.14.232.209,nan,1
4netplayers.com,tranco-rank100k,243.9,243.785,1.0,-0.115,exited google,2940.8652945969716,66.249.94.174,AS15169 Google LLC,1
5-tv.ru,tranco-rank10k,227.96,227.96,1.0,0.0,exited google,3298.8497036517074,142.251.51.160,AS15169 Google LLC,1
5eos306rsc.com,tranco-rank10k,2.02,111.92999999999999,0.018,109.91,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
5movierulz.immo,tranco-rank10k,232.305,248.77,0.934,16.465,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
5movierulz.ng,tranco-rank10k,2.11,2.255,0.936,0.145,exited google,0.5008882670652516,192.178.252.236,AS15169 Google LLC,2
64.176.162.16,vultr-tel aviv,4.97,3.24,1.534,-1.73,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
64.176.178.136,vultr-manchester,231.15,223.785,1.033,-7.365,exited google,2856.008361244685,192.178.105.28,AS15169 Google LLC,2
64.176.2.7,vultr-santiago,243.67,243.08,1.002,-0.59,exited google,2625.919297347608,108.170.233.209,AS15169 Google LLC,1
64.176.34.94,vultr-osaka,478.545,257.1,1.861,-221.445,exited google,N/A,142.251.241.126,nan,1
65.20.66.100,vultr-mumbai,493.705,244.01,2.023,-249.695,exited google,N/A,142.250.213.235,nan,1
67.219.110.24,vultr-melbourne,475.73,478.57,0.994,2.84,exited google,N/A,142.250.224.113,nan,1
6855.org,tranco-rank10k,1.42,2.05,0.693,0.63,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
70.34.194.86,vultr-stockholm,246.16500000000002,226.73,1.086,-19.435,exited google,3274.461560749818,142.251.248.193,AS15169 Google LLC,1
70.34.242.24,vultr-warsaw,242.58,226.75,1.07,-15.83,exited google,N/A,64.233.174.228,nan,2
77luckyn.com,tranco-rank100k,4.79,3.32,1.443,-1.47,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
77moviehd.com,tranco-rank100k,3.97,3.35,1.185,-0.62,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
77nekoaffiliate.com,tranco-rank100k,1.76,3.05,0.577,1.29,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
789.club,tranco-rank10k,225.23,243.49,0.925,18.26,exited google,2856.008361244685,192.178.105.208,AS15169 Google LLC,2
7dak25e.org,tranco-rank10k,240.565,232.70999999999998,1.034,-7.855,exited google,3282.240570082779,66.249.95.132,AS15169 Google LLC,1
7dak25et.com,tranco-rank10k,236.96,247.49,0.957,10.53,exited google,3282.240570082779,66.249.95.132,AS15169 Google LLC,1
7yqfcoolke.com,tranco-rank100k,112.93,4.16,27.147,-108.77,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
888bets.co.mz,tranco-rank10k,243.48,225.6,1.079,-17.88,exited google,2625.919297347608,108.170.233.209,AS15169 Google LLC,1
9news.com.au,tranco-rank10k,2.405,112.86,0.021,110.455,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
9xflix.foo,tranco-rank10k,7.57,2.9749999999999996,2.545,-4.595,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
a-mo.net,tranco-top1k,2.4850000000000003,5.54,0.449,3.055,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
a2sports.co,tranco-rank100k,1.56,2.24,0.696,0.68,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
a8.net,tranco-rank10k,492.02,492.02,1.0,0.0,exited google,9177.960190933456,108.170.248.184,nan,2
aalto.fi,tranco-rank10k,249.33,249.33,1.0,0.0,exited google,2240.7323980703122,192.178.252.232,AS15169 Google LLC,2
aappublications.org,tranco-rank10k,112.80499999999999,238.24,0.473,125.435,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
aatkit.com,tranco-rank10k,240.33,234.64,1.024,-5.69,exited google,2940.8652945969716,192.178.107.28,AS15169 Google LLC,2
abc7.com,tranco-rank10k,2.4,2.4,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
abgmlenuk.wiki,tranco-rank100k,2.08,3.16,0.658,1.08,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
aboutads.info,tranco-top1k,4.05,2.11,1.919,-1.94,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
acadeu.com,tranco-rank10k,237.515,241.845,0.982,4.33,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
accuweather.com,tranco-top1k,230.375,227.7,1.012,-2.675,exited google,2655.769233743875,192.178.104.102,AS15169 Google LLC,2
acsechocaptiveportal.com,tranco-rank10k,229.975,229.975,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
ad.gt,tranco-top1k,237.39,238.16500000000002,0.997,0.775,exited google,11039.870161574374,142.251.243.161,AS15169 Google LLC,1
ad2iction.com,tranco-rank100k,380.105,364.305,1.043,-15.8,exited google,9177.960190933456,72.14.239.222,AS15169 Google LLC,1
adamieva.info,tranco-rank10k,1.51,112.655,0.013,111.145,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
adblockplus.org,tranco-top1k,357.15,357.15,1.0,0.0,exited google,2240.7323980703122,74.125.242.216,AS15169 Google LLC,1
addgene.org,tranco-rank100k,111.775,2.2,50.807,-109.575,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
addtoany.com,tranco-top1k,112.805,3.66,30.821,-109.145,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
adform.net,tranco-top1k,235.775,233.85,1.008,-1.925,exited google,2940.8652945969716,74.125.253.7,AS15169 Google LLC,1
adftech.com.br,tranco-rank100k,5.19,5.640000000000001,0.92,0.45,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
aditude.cloud,tranco-rank10k,111.575,4.31,25.887,-107.265,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
adjust.com,tranco-top1k,1.22,1.22,1.0,0.0,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
admarketplace.net,tranco-rank100k,480.385,480.385,1.0,0.0,exited google,N/A,142.250.209.65,nan,1
admob.com,tranco-rank10k,236.095,236.095,1.0,0.0,last node was google,3282.240570082779,74.125.133.138,nan,18
admost.com,tranco-rank10k,1.4849999999999999,2.49,0.596,1.005,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
adnxs.com,tranco-top1k,243.685,239.89,1.016,-3.795,exited google,3298.8497036517074,66.249.95.7,AS15169 Google LLC,1
adobe.com,tranco-top1k,237.09,233.44,1.016,-3.65,exited google,2940.8652945969716,192.178.107.28,AS15169 Google LLC,2
adobe.io,tranco-top1k,236.62,236.62,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
adobe.net,tranco-top1k,229.74,228.75,1.004,-0.99,exited google,2856.008361244685,192.178.105.90,AS15169 Google LLC,2
adobecqms.net,tranco-rank10k,4.115,233.135,0.018,229.02,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
adobeprimetime.com,tranco-rank10k,231.86,231.86,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
adprime.com,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
adprun.net,tranco-rank100k,1.45,3.37,0.43,1.92,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
adriver.ru,tranco-top1k,230.235,234.315,0.983,4.08,exited google,3113.565622858637,172.253.73.96,AS15169 Google LLC,1
adsafeprotected.com,tranco-top1k,227.575,227.575,1.0,0.0,exited google,2856.008361244685,142.251.54.37,AS15169 Google LLC,1
adsrvr.org,tranco-top1k,241.73,241.73,1.0,0.0,exited google,2625.919297347608,108.170.233.209,AS15169 Google LLC,1
adtrafficquality.google,tranco-top1k,1.715,1.715,1.0,0.0,last node was google,0.5008882670652516,142.250.75.68,AS15169 Google LLC,6
adzuna.co.uk,tranco-rank100k,2.41,2.41,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
aeroflowbreastpumps.com,tranco-rank100k,226.91,226.91,1.0,0.0,exited google,2240.7323980703122,192.178.252.226,AS15169 Google LLC,2
afidni.com,tranco-rank100k,237.985,357.01,0.667,119.025,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
aflac.co.jp,tranco-rank100k,2.01,2.01,1.0,0.0,exited google,11.185193077328359,142.251.234.133,AS15169 Google LLC,2
afternic.com,tranco-top1k,236.63,228.01,1.038,-8.62,exited google,2856.008361244685,142.251.250.195,AS15169 Google LLC,1
agenda-loto.net,tranco-rank100k,247.19,232.32,1.064,-14.87,exited google,3282.240570082779,66.249.95.132,AS15169 Google LLC,1
agenteimmobiliare.info,tranco-rank10k,1.4849999999999999,2.0,0.742,0.515,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
agoda.com,tranco-top1k,239.78500000000003,229.825,1.043,-9.96,exited google,2940.8652945969716,192.178.109.166,AS15169 Google LLC,2
agora.io,tranco-top1k,482.97,482.97,1.0,0.0,exited google,7771.9339000425425,108.170.235.191,AS15169 Google LLC,1
ahen.me,tranco-rank10k,236.37,241.75,0.978,5.38,exited google,3298.8497036517074,142.251.51.160,AS15169 Google LLC,1
ahrefs.dev,tranco-rank100k,239.11,228.49,1.046,-10.62,exited google,2856.008361244685,192.178.105.90,AS15169 Google LLC,2
aig.com,tranco-rank10k,239.445,239.445,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
ailawandorder.com,tranco-top1k,486.41,255.23,1.906,-231.18,exited google,7771.9339000425425,72.14.236.39,AS15169 Google LLC,1
airbnb.co.uk,tranco-rank10k,237.92,237.92,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
airbnb.com,tranco-top1k,226.07,226.07,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
airee.ru,tranco-rank10k,241.44,223.92,1.078,-17.52,exited google,N/A,108.170.225.150,nan,1
airportseirosafar.com,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
akaqa.com,tranco-rank100k,227.5,353.885,0.643,126.385,exited google,2655.769233743875,192.178.99.212,AS15169 Google LLC,2
ala.org,tranco-rank10k,226.335,226.335,1.0,0.0,exited google,2240.7323980703122,192.178.252.232,AS15169 Google LLC,2
alaskaair.net,tranco-rank100k,229.36,233.635,0.982,4.275,exited google,2655.769233743875,142.251.224.85,AS15169 Google LLC,1
alastonsuomi.com,tranco-rank10k,242.745,244.74,0.992,1.995,exited google,3298.8497036517074,66.249.95.7,AS15169 Google LLC,1
alexislandrover.com,tranco-rank10k,1.35,2.93,0.461,1.58,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
alexismovistar.com,tranco-rank10k,1.4300000000000002,2.98,0.48,1.55,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
alexistogel-daftar.com,tranco-rank10k,1.835,2.87,0.639,1.035,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
alexistogel-slot.com,tranco-rank10k,1.385,1.97,0.703,0.585,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
alfahosting-server.de,tranco-rank100k,238.81,240.81,0.992,2.0,exited google,N/A,209.85.252.184,nan,2
alibaba.com,tranco-top1k,239.58,230.35000000000002,1.04,-9.23,exited google,9484.224552330685,108.170.233.255,AS15169 Google LLC,1
alicdn.com,tranco-top1k,235.75,485.35,0.486,249.6,exited google,2856.008361244685,192.178.105.26,AS15169 Google LLC,2
alidns.com,tranco-top1k,229.41500000000002,495.32,0.463,265.905,exited google,3282.240570082779,66.249.95.132,AS15169 Google LLC,1
aliexpress.com,tranco-top1k,230.25,230.25,1.0,0.0,exited google,2940.8652945969716,192.178.109.234,AS15169 Google LLC,2
aliyun.com,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
aliyuncs.com,tranco-top1k,237.97,492.12,0.484,254.15,exited google,3282.240570082779,66.249.95.132,AS15169 Google LLC,1
allaboutcookies.org,tranco-top1k,1.98,2.7,0.733,0.72,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
allegro.pl,tranco-top1k,231.67,229.65,1.009,-2.02,exited google,N/A,142.251.248.129,nan,1
allen.in,tranco-rank10k,1.9,4.09,0.465,2.19,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
alloschool.com,tranco-rank10k,243.81,246.54,0.989,2.73,exited google,3282.240570082779,66.249.95.132,AS15169 Google LLC,1
allsarkarinaukri.com,tranco-rank100k,1.49,2.255,0.661,0.765,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
alma-de-cuba.com,tranco-rank100k,1.36,1.82,0.747,0.46,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
almalinux.org,tranco-rank10k,1.395,3.02,0.462,1.625,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
almesasports.com,tranco-rank10k,2.34,112.39500000000001,0.021,110.055,exited google,0.5008882670652516,192.178.252.240,AS15169 Google LLC,2
alternet.org,tranco-rank10k,234.54000000000002,234.54000000000002,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
altova.com,tranco-rank100k,227.61,235.45,0.967,7.84,exited google,2856.008361244685,192.178.105.170,AS15169 Google LLC,2
alva.xyz,tranco-rank100k,6.47,1.98,3.268,-4.49,exited google,0.5008882670652516,142.251.240.183,AS15169 Google LLC,5
alweereenwinnaar.nl,tranco-rank100k,231.585,244.52,0.947,12.935,exited google,3298.8497036517074,74.125.243.76,AS15169 Google LLC,2
amagi.tv,tranco-top1k,230.46,241.565,0.954,11.105,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
amazon-adsystem.com,tranco-top1k,245.74,245.74,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
amazon.co.jp,tranco-top1k,247.95,232.685,1.066,-15.265,exited google,11039.870161574374,142.251.49.34,AS15169 Google LLC,2
amazon.co.uk,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
amazon.com,tranco-top1k,230.11,230.11,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
amazon.com.au,tranco-top1k,239.055,234.68,1.019,-4.375,exited google,11039.870161574374,142.251.49.26,AS15169 Google LLC,2
amazon.com.br,tranco-top1k,244.44,244.44,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
amazon.de,tranco-top1k,4.859999999999999,4.859999999999999,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
amazon.es,tranco-top1k,4.44,4.44,1.0,0.0,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
amazon.fr,tranco-top1k,2.3600000000000003,2.3600000000000003,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
amazon.in,tranco-top1k,21.41,21.41,1.0,0.0,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
amazon.it,tranco-top1k,111.55,111.55,1.0,0.0,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
amazonaws.com,tranco-top1k,238.315,238.315,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
amazontrust.com,tranco-top1k,2.14,11.93,0.179,9.79,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
amazonvideo.com,tranco-top1k,128.5,9.94,12.928,-118.56,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
ameblo.jp,tranco-top1k,232.66,232.66,1.0,0.0,exited google,2240.7323980703122,192.178.252.226,AS15169 Google LLC,2
amedia.lol,tranco-rank10k,235.56,235.56,1.0,0.0,exited google,3298.8497036517074,66.249.95.7,AS15169 Google LLC,1
american.edu,tranco-rank10k,6.625,1.92,3.451,-4.705,exited google,0.5008882670652516,192.178.252.236,AS15169 Google LLC,2
americanmeadows.com,tranco-rank100k,240.23000000000002,240.23000000000002,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
americanprogress.org,tranco-rank10k,3.425,113.15,0.03,109.725,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
amnh.org,tranco-rank10k,2.65,111.625,0.024,108.975,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
amplitude.com,tranco-top1k,111.61,4.75,23.497,-106.86,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
ampproject.org,tranco-top1k,223.54,223.54,1.0,0.0,last node was google,0.5008882670652516,142.250.75.206,AS15169 Google LLC,6
ampr.org,tranco-rank100k,236.43,246.36,0.96,9.93,exited google,2856.008361244685,192.178.105.28,AS15169 Google LLC,2
amzn.to,tranco-top1k,2.67,2.67,1.0,0.0,last node was google,9134.81480089621,67.199.248.12,AS396982 Google LLC,6
anaajkharid.in,tranco-rank100k,2.35,236.13,0.01,233.78,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
analog.com,tranco-rank10k,243.95,234.245,1.041,-9.705,exited google,9134.81480089621,142.251.60.123,AS15169 Google LLC,1
ancestry.com,tranco-top1k,3.9000000000000004,2.6550000000000002,1.469,-1.245,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
android.com,tranco-top1k,1.2,1.2,1.0,0.0,last node was google,0.5008882670652516,142.250.75.132,AS15169 Google LLC,6
andysautosport.com,tranco-rank100k,2.58,3.14,0.822,0.56,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
angkabet89100.com,tranco-rank100k,2.3,2.96,0.777,0.66,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
aniview.com,tranco-top1k,232.675,248.2,0.937,15.525,exited google,N/A,142.250.214.161,nan,1
anm.co.uk,tranco-rank10k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
annualreviews.org,tranco-rank10k,1.5299999999999998,2.19,0.699,0.66,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
anslayer.com,tranco-rank100k,2.37,2.43,0.975,0.06,exited google,0.5008882670652516,108.170.238.109,AS15169 Google LLC,1
antares138play.store,tranco-rank100k,1.55,2.42,0.64,0.87,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
anthropologie.com,tranco-rank10k,1.97,3.84,0.513,1.87,exited google,0.5008882670652516,142.251.224.97,AS15169 Google LLC,5
anydesk.com,tranco-top1k,233.78,233.78,1.0,0.0,exited google,2625.919297347608,108.170.233.209,AS15169 Google LLC,1
aol.com,tranco-top1k,221.49,4.22,52.486,-217.27,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
apache.org,tranco-top1k,234.065,234.065,1.0,0.0,exited google,2240.7323980703122,192.178.252.232,AS15169 Google LLC,2
apachehaus.com,tranco-rank10k,2.18,240.76,0.009,238.58,exited google,0.5008882670652516,192.178.252.236,AS15169 Google LLC,2
apcceonline.in,tranco-rank100k,1.5499999999999998,1.5499999999999998,1.0,0.0,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
apk48.com,tranco-rank100k,4.95,4.95,1.0,0.0,last node was google,0.5008882670652516,216.239.36.21,nan,8
apmcdn.org,tranco-rank100k,237.03,237.03,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
apnews.com,tranco-top1k,226.195,236.47500000000002,0.957,10.28,exited google,2856.008361244685,192.178.105.208,AS15169 Google LLC,2
apnnews.com,tranco-rank100k,480.85,472.70000000000005,1.017,-8.15,exited google,N/A,72.14.235.110,nan,1
app-analytics-services.com,tranco-top1k,3.425,3.425,1.0,0.0,last node was google,0.5008882670652516,142.250.75.78,AS15169 Google LLC,6
app-measurement.com,tranco-top1k,1.72,1.72,1.0,0.0,last node was google,0.5008882670652516,142.250.75.142,AS15169 Google LLC,7
appcenter.ms,tranco-top1k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
appcues.com,tranco-rank10k,4.54,6.33,0.717,1.79,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
apperoni.top,tranco-rank100k,240.57,2.05,117.351,-238.52,exited google,2856.008361244685,192.178.105.90,AS15169 Google LLC,2
appfunia.com,tranco-rank10k,1.455,220.63,0.007,219.175,exited google,0.5008882670652516,142.251.224.81,AS15169 Google LLC,1
apple.com,tranco-top1k,235.55,247.19,0.953,11.64,exited google,3282.240570082779,72.14.235.97,AS15169 Google LLC,1
apple.news,tranco-top1k,226.55,232.565,0.974,6.015,exited google,2856.008361244685,192.178.105.90,AS15169 Google LLC,2
appledaily.com.tw,tranco-rank100k,N/A,N/A,N/A,N/A,google edge not detected,N/A,N/A,N/A,0
applovin.com,tranco-top1k,2.63,6.69,0.393,4.06,exited google,0.5008882670652516,192.178.252.236,AS15169 Google LLC,2
appsflyer.com,tranco-top1k,233.675,233.675,1.0,0.0,exited google,9134.81480089621,142.251.60.176,AS15169 Google LLC,1
